Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3519303;Interior;Ibaté;5952;112;;;
3519402;Interior;Ibirá;2254;49;;;
3519501;Interior;Ibirarema;1224;37;;;
3519600;Interior;Ibitinga;15768;310;;;
3519709;Interior;Ibiúna;5340;164;;;
3519808;Interior;Icém;1919;40;;;
3519907;Interior;Iepê;1840;34;;;
3520004;Interior;Igaraçu do Tietê;4290;75;;;
3520103;Interior;Igarapava;1413;108;;;
3520202;Interior;Igaratá;2469;41;;;
3520301;Interior;Iguape;5219;124;;;
3520400;Interior;Ilhabela;7492;52;;;
3520426;Interior;Ilha Comprida;3550;65;;;
3520442;Interior;Ilha Solteira;4438;119;;;
3520509;Interior;Indaiatuba;28757;858;;;
3520608;Interior;Indiana;381;13;;;
3520707;Interior;Indiaporã;1257;14;;;
3520806;Interior;Inúbia Paulista;1255;21;;;
3520905;Interior;Ipaussu;4221;57;;;
3521002;Interior;Iperó;5683;76;;;
3521101;Interior;Ipeúna;785;24;;;
3521150;Interior;Ipiguá;1894;33;;;
3521200;Interior;Iporanga;877;9;;;
3521309;Interior;Ipuã;2774;69;;;
3521408;Interior;Iracemápolis;6647;111;;;
3521507;Interior;Irapuã;1354;31;;;
3521606;Interior;Irapuru;1681;42;;;
3521705;Interior;Itaberá;5416;78;;;
3521804;Interior;Itaí;6946;90;;;
3521903;Interior;Itajobi;5020;71;;;
3522000;Interior;Itaju;999;11;;;
3522109;Interior;Itanhaém;12662;404;;;
3522158;Interior;Itaoca;287;8;;;
3522208;RMSP (exceto capital);Itapecerica da Serra;12401;499;;;
3522307;Interior;Itapetininga;18242;607;;;
3522406;Interior;Itapeva;20651;473;;;
3522505;RMSP (exceto capital);Itapevi;13039;773;;;
3522604;Interior;Itapira;16431;369;;;
3522653;Interior;Itapirapuã Paulista;1252;7;;;
3522703;Interior;Itápolis;13539;183;;;
3522802;Interior;Itaporanga;3047;61;;;
3522901;Interior;Itapuí;2470;48;;;
3523008;Interior;Itapura;679;17;;;
3523107;RMSP (exceto capital);Itaquaquecetuba;27459;1159;;;
3523206;Interior;Itararé;10453;276;;;
3523305;Interior;Itariri;1865;51;;;
3523404;Interior;Itatiba;25529;383;;;
3523503;Interior;Itatinga;4540;68;;;
3523602;Interior;Itirapina;2690;45;;;
3523701;Interior;Itirapuã;325;8;;;
3523800;Interior;Itobi;1274;24;;;
3523909;Interior;Itu;35051;578;;;
3524006;Interior;Itupeva;8893;168;;;
3524105;Interior;Ituverava;3998;161;;;
3524204;Interior;Jaborandi;591;24;;;
3524303;Interior;Jaboticabal;8708;257;;;
3524402;Interior;Jacareí;30186;910;;;
3524501;Interior;Jaci;2679;33;;;
3524600;Interior;Jacupiranga;3051;65;;;
3524709;Interior;Jaguariúna;11100;192;;;
3524808;Interior;Jales;15130;304;;;
3524907;Interior;Jambeiro;508;18;;;
3525003;RMSP (exceto capital);Jandira;9757;357;;;
3525102;Interior;Jardinópolis;4852;167;;;
3525201;Interior;Jarinu;3471;91;;;
3525300;Interior;Jaú;21700;608;;;
3525409;Interior;Jeriquara;641;3;;;
3525508;Interior;Joanópolis;1502;17;;;
3525607;Interior;João Ramalho;1174;13;;;
3525706;Interior;José Bonifácio;9185;168;;;
3525805;Interior;Júlio Mesquita;355;16;;;
3525854;Interior;Jumirim;624;8;;;
3525904;Interior;Jundiaí;74109;1805;;;
3526001;Interior;Junqueirópolis;4805;104;;;
3526100;Interior;Juquiá;3056;68;;;
3526209;RMSP (exceto capital);Juquitiba;1825;87;;;
3526308;Interior;Lagoinha;244;16;;;
3526407;Interior;Laranjal Paulista;6368;143;;;
3526506;Interior;Lavínia;1548;19;;;
3526605;Interior;Lavrinhas;379;15;;;
3526704;Interior;Leme;21136;472;;;
3526803;Interior;Lençóis Paulista;23787;212;;;
3526902;Interior;Limeira;43647;1298;;;
3527009;Interior;Lindóia;2156;21;;;
3527108;Interior;Lins;12641;337;;;
3527207;Interior;Lorena;7546;279;;;
3527256;Interior;Lourdes;396;6;;;
3527306;Interior;Louveira;11745;126;;;
3527405;Interior;Lucélia;4297;81;;;
3527504;Interior;Lucianópolis;502;6;;;
3527603;Interior;Luís Antônio;3458;44;;;
3527702;Interior;Luiziânia;415;14;;;
3527801;Interior;Lupércio;274;8;;;
3527900;Interior;Lutécia;863;8;;;
3528007;Interior;Macatuba;5070;62;;;
3528106;Interior;Macaubal;1900;23;;;
3528205;Interior;Macedônia;1058;32;;;
3528304;Interior;Magda;762;10;;;
3528403;Interior;Mairinque;5280;87;;;
3528502;RMSP (exceto capital);Mairiporã;7542;279;;;
3528601;Interior;Manduri;993;31;;;
3528700;Interior;Marabá Paulista;745;6;;;
3528809;Interior;Maracaí;3419;56;;;
3528858;Interior;Marapoama;1075;15;;;
3528908;Interior;Mariápolis;1171;12;;;
3529005;Interior;Marília;40808;1134;;;
3529104;Interior;Marinópolis;670;7;;;
3529203;Interior;Martinópolis;2167;93;;;
3529302;Interior;Matão;7002;232;;;
3529401;RMSP (exceto capital);Mauá;36547;1666;;;
3529500;Interior;Mendonça;2023;33;;;
3529609;Interior;Meridiano;647;39;;;
3529658;Interior;Mesópolis;731;6;;;
3529708;Interior;Miguelópolis;1535;107;;;
3529807;Interior;Mineiros do Tietê;2379;35;;;
3529906;Interior;Miracatu;3475;83;;;
3530003;Interior;Mira Estrela;554;15;;;
3530102;Interior;Mirandópolis;2281;115;;;
3530201;Interior;Mirante do Paranapanema;2406;51;;;
3530300;Interior;Mirassol;10507;321;;;
3530409;Interior;Mirassolândia;776;21;;;
3530508;Interior;Mococa;13260;290;;;
3530607;RMSP (exceto capital);Mogi das Cruzes;45868;1879;;;
3530706;Interior;Mogi Guaçu;36475;694;;;
3530805;Interior;Mogi Mirim;24572;420;;;
3530904;Interior;Mombuca;468;11;;;
3531001;Interior;Monções;550;7;;;
3531100;Interior;Mongaguá;2808;110;;;
3531209;Interior;Monte Alegre do Sul;1655;22;;;
3531308;Interior;Monte Alto;11037;219;;;
3531407;Interior;Monte Aprazível;4736;121;;;
3531506;Interior;Monte Azul Paulista;2386;28;;;
3531605;Interior;Monte Castelo;1495;24;;;
3531704;Interior;Monteiro Lobato;320;12;;;
3531803;Interior;Monte Mor;8098;170;;;
3531902;Interior;Morro Agudo;5503;113;;;
3532009;Interior;Morungaba;1089;41;;;
3532058;Interior;Motuca;378;11;;;
3532108;Interior;Murutinga do Sul;1041;22;;;
3532157;Interior;Nantes;257;7;;;
3532207;Interior;Narandiba;1778;25;;;
3532306;Interior;Natividade da Serra;246;14;;;
3532405;Interior;Nazaré Paulista;2821;66;;;
3532504;Interior;Neves Paulista;2492;58;;;
3532603;Interior;Nhandeara;3064;56;;;
3532702;Interior;Nipoã;528;17;;;
3532801;Interior;Nova Aliança;1562;34;;;
3532827;Interior;Nova Campina;1168;46;;;
3532843;Interior;Nova Canaã Paulista;757;10;;;
3532868;Interior;Nova Castilho;314;4;;;
3532900;Interior;Nova Europa;858;30;;;
3533007;Interior;Nova Granada;5782;87;;;
3533106;Interior;Nova Guataporanga;170;4;;;
3533205;Interior;Nova Independência;1559;8;;;
3533254;Interior;Novais;314;17;;;
3533304;Interior;Nova Luzitânia;393;14;;;
3533403;Interior;Nova Odessa;10645;280;;;
3533502;Interior;Novo Horizonte;6261;241;;;
3533601;Interior;Nuporanga;421;14;;;
3533700;Interior;Ocauçu;953;9;;;
3533809;Interior;Óleo;161;6;;;
3533908;Interior;Olímpia;14497;306;;;
3534005;Interior;Onda Verde;953;28;;;
3534104;Interior;Oriente;437;28;;;
3534203;Interior;Orindiúva;2310;20;;;
3534302;Interior;Orlândia;7987;132;;;
3534401;RMSP (exceto capital);Osasco;48745;3106;;;
3534500;Interior;Oscar Bressane;727;9;;;
3534609;Interior;Osvaldo Cruz;9268;138;;;
3534708;Interior;Ourinhos;25058;585;;;
3534757;Interior;Ouroeste;2947;50;;;
3534807;Interior;Ouro Verde;1143;38;;;
3534906;Interior;Pacaembu;3792;53;;;
3535002;Interior;Palestina;2323;47;;;
3535101;Interior;Palmares Paulista;2267;47;;;
3535200;Interior;Palmeira d'Oeste;2357;35;;;
3535309;Interior;Palmital;4804;81;;;
3535408;Interior;Panorama;2298;81;;;
3535507;Interior;Paraguaçu Paulista;9733;172;;;
3535606;Interior;Paraibuna;1335;60;;;
3535705;Interior;Paraíso;1136;31;;;
3535804;Interior;Paranapanema;2161;90;;;
3535903;Interior;Paranapuã;1194;29;;;
3536000;Interior;Parapuã;1594;50;;;
3536109;Interior;Pardinho;1205;19;;;
3536208;Interior;Pariquera-Açu;3972;77;;;
3536257;Interior;Parisi;996;20;;;
3536307;Interior;Patrocínio Paulista;1143;39;;;
3536406;Interior;Paulicéia;1711;26;;;
3536505;Interior;Paulínia;23862;346;;;
3536570;Interior;Paulistânia;210;7;;;
3536604;Interior;Paulo de Faria;1245;42;;;
3536703;Interior;Pederneiras;8740;143;;;
3536802;Interior;Pedra Bela;284;12;;;
3536901;Interior;Pedranópolis;279;10;;;
